1.	啊	33.	交	65.	晴	97.	希
2.	帮	34.	教	66.	球	98.	洗
3.	备	35.	介	67.	然	99.	笑
4.	比	36.	进	68.	让	100.	姓
5.	笔	37.	近	69.	肉	101.	颜
6.	表	38.	经	70.	色	102.	眼
7.	别	39.	睛	71.	绍	103.	药
8.	步	40.	酒	72.	身	104.	爷
9.	场	41.	就	73.	始	105.	已
10.	词	42.	咖	74.	试	106.	意
11.	次	43.	考	75.	室	107.	因
12.	从	44.	裤	76.	舒	108.	阴
13.	错	45.	快	77.	思	109.	泳
14.	但	46.	篮	78.	送	110.	游
15.	地	47.	乐	79.	诉	111.	右
16.	等	48.	累	80.	虽	112.	鱼
17.	店	49.	离	81.	所	113.	远
18.	懂	50.	留	82.	疼	114.	运
19.	动	51.	楼	83.	踢	115.	站
20.	啡	52.	路	84.	体	116.	长
21.	夫	53.	旅	85.	跳	117.	丈
22.	告	54.	绿	86.	铁	118.	周
23.	跟	55.	慢	87.	头	119.	着
24.	馆	56.	每	88.	完	120.	准
25.	过	57.	门	89.	万	121.	自
26.	黑	58.	拿	90.	网	122.	走
27.	红	59.	鸟	91.	往	123.	足
28.	花	60.	旁	92.	忘	124.	最
29.	画	61.	跑	93.	望	125.	左
30.	坏	62.	票	94.	为		
31.	己	63.	妻	95.	位		
32.	记	64.	情	96.	舞		
